0.165	0.185	0.174
10.858	3.774	60.205
17.668	6	98.506
4.66	19.79	2.68
14.88	22.696	61.033
21.889	24.818	100.195
6.913	30.426	4.658
16.989	33.731	61.245
24.152	36.225	100.877
13.937	6.14	0.1
23.325	9.258	57.675
29.4	11.193	96.502
17.335	24.526	2.522
27.082	28.005	60.728
32.984	29.568	99.121
18.897	35.695	4.768
28.145	38.68	61.318
34.45	40.73	100.204
25.577	11.19	0.145
34.294	14.017	58.55
39.798	15.805	98.467
27.931	29.205	2.632
36.983	32.316	60.838
42.116	33.739	99.808
28.338	39.679	4.796
37.404	43.097	62.015
43.233	44.947	101.377
