0.102	0.122	0.074
6.132	2.168	33.356
10.347	3.521	56.953
2.729	11.357	1.419
8.639	13.303	34.251
12.907	14.774	57.421
4.307	18.21	2.706
10.435	20.783	36.029
14.489	21.909	58.545
8.467	3.724	0.053
14.312	5.71	33.864
18.076	6.919	57.081
10.542	14.659	1.448
15.874	16.411	33.989
20.122	18.087	58.019
11.853	21.963	2.809
17.169	23.528	35.532
20.858	24.664	57.988
15.038	6.602	0.095
20.421	8.414	33.123
23.623	9.45	55.948
16.748	17.312	1.499
22.271	19.456	34.673
25.238	20.245	57.074
17.145	23.655	2.74
22.345	25.635	35.2
25.996	26.928	58.035
