0.06	0.074	0.035
2.984	1.097	16.119
4.851	1.708	26.63
1.241	5.282	0.633
4.046	6.259	16.14
6.057	6.962	27.055
2.004	8.605	1.253
4.776	9.543	16.631
6.77	10.245	27.48
2.629	1.173	0.033
5.283	2.096	15.587
7.204	2.756	26.542
3.706	6.372	0.644
6.362	7.316	16.172
8.187	7.908	26.864
4.269	9.579	1.262
6.884	10.496	16.583
8.711	11.104	27.153
4.762	2.112	0.042
7.274	2.984	15.596
8.982	3.602	26.363
5.675	7.258	0.71
8.251	8.2	16.159
9.887	8.727	26.844
6.101	10.406	1.311
8.591	11.277	16.629
10.459	11.956	27.402
