0.112	0.134	0.118
8.137	2.773	44.954
13.708	4.546	76.13
3.043	13.158	1.695
10.898	15.86	45.357
16.525	17.799	76.302
4.839	21.354	3.236
12.426	23.69	45.774
18.186	25.94	77.052
6.761	2.992	0.047
14.282	5.5	44.309
19.257	7.076	74.101
9.348	16.189	1.768
16.636	18.418	45.175
22.024	20.369	75.992
10.69	24.131	3.325
17.862	26.298	46.179
22.936	27.95	75.72
12.192	5.383	0.092
18.912	7.556	43.38
23.725	9.136	73.813
14.177	18.108	1.798
21.59	20.877	45.748
26.205	22.284	75.877
15.166	26.107	3.393
22.443	28.826	47.001
27.661	30.669	77.694
