0.081	0.088	0.101
7.712	2.529	42.425
13.238	4.207	73.499
2.55	10.815	1.424
9.961	12.947	43.043
15.081	14.459	71.474
3.951	16.99	2.601
11.348	19.445	43.769
16.666	21.182	73.028
8.1	3.559	0.042
15.349	5.844	42.588
20.315	7.36	72.352
10.246	14.161	1.45
16.857	15.932	42.677
21.112	16.956	69.663
10.768	19.868	2.663
17.227	21.573	42.368
22.657	23.88	72.593
14.668	6.43	0.137
21.136	8.414	41.78
25.51	9.741	71
16.011	16.448	1.482
22.544	18.494	42.862
26.965	19.925	72.205
16.354	22.481	2.725
22.627	24.293	43.402
27.937	26.507	73.8
